,Author,Title,Citations,Year,Source
4," Seetharam, V Arya, D Chakraborty…",Cyber physical systems for smarter energy grids: experiences at IBM Research—India,2,2013,http://journal.iisc.ernet.in/index.php/iisc/article/view/2455
5,"Elbe, E Schmautzer",Appliance-specific energy consumption feedback for domestic consumers using load disaggregation methods,2,2013,http://digital-library.theiet.org/content/conferences/10.1049/cp.2013.0665
6,"Batra, A Singh, K Whitehouse",Neighbourhood NILM: A big-data approach to household energy disaggregation,2,2015,https://arxiv.org/abs/1511.02900
7,"Benyoucef, T Bier, P Klein",Test System for Disaggregation Algorithms for use in Smart Meters,2,2012,http://www.sciencedirect.com/science/article/pii/S1876610211044122
8,"Naghibi, S Deilami",Non-intrusive load monitoring and supplementary techniques for home energy management,2,2014,http://ieeexplore.ieee.org/abstract/document/6966647/
9,"Bhattacharjee, A Kumar…",Appliance classification using energy disaggregation in smart homes,2,2014,http://ieeexplore.ieee.org/abstract/document/6915330/
0,"R Ambati, D Irwin",AutoPlug: An automated metadata service for smart outlets,2,2016,http://ieeexplore.ieee.org/abstract/document/7892604/
1," Levenda, D Mahmoudi, G Sussman","The Neoliberal Politics of'Smart': Electricity Consumption, Household Monitoring, and the Enterprise Form",2,2015,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2529029
2, Kim,Appliance Recognition Unit for Home Energy Management System With UPnP Network,2,2015,http://ieeexplore.ieee.org/abstract/document/7331284/
3," Chiang, TW Ho, CC Chou",A BIM-Enabled Platform for Power Consumption Data Collection and Analysis,2,2012,http://ascelibrary.org/doi/abs/10.1061/9780784479247.012
4,"Laasch, A Dieterlen, D Benyoucef",Event detection using adaptive thresholds for non-intrusive load monitoring,2,0,https://opus.htwg-konstanz.de/files/444/proceedingsSInCom2015.pdf#page=67
5,"Singh, S Kumar, S Semwal, RS Prasad",Residential Load Signature Analysis for Their Segregation Using Wavelet—SVM,2,2015,http://link.springer.com/10.1007/978-81-322-2119-7_84
6,"Dalén, C Weinhardt",Fusebox dialects: Central appliance recognition for a smarter grid,2,2012,http://ieeexplore.ieee.org/abstract/document/6175759/
7,"Ridi, C Gisler, J Hennebert",User interaction event detection in the context of appliance monitoring,2,2015,http://ieeexplore.ieee.org/abstract/document/7134056/
8,"S Guedes, DD Ferreira, BHG Barbosa",A non-intrusive approach to classify electrical appliances based on higher-order statistics and genetic algorithm: a smart grid perspective,2,2016,http://www.sciencedirect.com/science/article/pii/S0378779616302516
9," Lin, YC Chen, SL Tsao…",Design and implementation of a home and building gateway with integration of nonintrusive load monitoring meters,2,2012,http://ieeexplore.ieee.org/abstract/document/6209929/
0,"Dinesh, PH Perera, G Godaliyadda…",Individual power profile estimation of residential appliances using low frequency smart meter data,2,2015,http://ieeexplore.ieee.org/abstract/document/7399000/
1,"Bilski, W Winiecki",Non-Intrusive Appliance Load Identification with the Ensemble of Classifiers,2,2016,http://nilmworkshop.org/2016/proceedings/Paper_ID25.pdf
2,"Shen, RP Singh, A Phanishayee, A Kansal…",Beam: Ending Monolithic Applications for Connected Devices.,2,2016,https://www.usenix.org/system/files/conference/atc16/atc16_paper-shen.pdf
3," Liao, EM Stewart, EC Kara",Micro-synchrophasor data for diagnosis of transmission and distribution level events,3,2016,http://ieeexplore.ieee.org/abstract/document/7519975/
4,"Sanquer, F Chatelain…",Bayesian curve fitting for transient signals by using smooth transition regression models.,2,0,https://hal.archives-ouvertes.fr/hal-00511097/
5,"Dinesh, PH Perera, G Godaliyadda…",Residential appliance monitoring based on low frequency smart meter measurements,3,2015,http://ieeexplore.ieee.org/abstract/document/7436412/
6,"Ankele, KA Küçük, A Martin…",Applying the Trustworthy Remote Entity to Privacy-Preserving Multiparty Computation: Requirements and Criteria for Large-Scale Applications,2,2016,http://ieeexplore.ieee.org/abstract/document/7816873/
7,"Abubakar, SN Khalid, MW Mustafa, H Shareef…",Application of load monitoring in appliances' energy management–A review,2,2017,http://www.sciencedirect.com/science/article/pii/S136403211630555X
8,"Simonov, G Chicco, S Ferro…",Knowledge extraction from event-driven metering of electrical consumption patterns,2,2016,http://ieeexplore.ieee.org/abstract/document/7540883/
9,Makonin,Investigating the switch continuity principle assumed in Non-Intrusive Load Monitoring (NILM),2,2016,http://ieeexplore.ieee.org/abstract/document/7726787/
0,Palomer,Could not catch title,2,2001,Look manually at: https://scholar.google.com/scholar?start=690&q=non+intrusive+load+monitoring
1," Le, B Vrigneau, O Sentieys",l1-Norm minimization based algorithm for non-intrusive load monitoring,2,2015,http://ieeexplore.ieee.org/abstract/document/7134052/
2,"Kramer, T Klingenberg…",Non-intrusive appliance load monitoring with bagging classifiers,2,2015,https://academic.oup.com/jigpal/article-abstract/23/3/359/725629
3,"Iwayemi, C Zhou",SARAA: Semi-Supervised Learning for Automated Residential Appliance Annotation,2,2015,http://ieeexplore.ieee.org/abstract/document/7346494/
4,"Nakajima, K Nagasawa, Y Shishido…",The state estimation of existing home appliances using signal analysis technique,2,2014,http://ieeexplore.ieee.org/abstract/document/6935261/
5,"McDaniel, S McLaughlin",Structured security testing in the smart grid,2,2012,http://ieeexplore.ieee.org/abstract/document/6217858/
6,"Iyengar, D Irwin, P Shenoy",Non-intrusive model derivation: automated modeling of residential electrical loads,2,2016,http://www.ecs.umass.edu/~deirwin/nimd.pdf
7,"Yogeeswaran, FM Kelly, SN Patel, S Gupta…",System for monitoring electrical power usage of a structure and method of same,2,2015,https://www.google.com/patents/US8972211
8,"Cheng, B Qi, XQ Lv",The research of household appliance on-line load monitoring,2,2014,http://ieeexplore.ieee.org/abstract/document/6991692/
9,"Liu, L Song, DE Claridge",High Performance Commercial Building Systems,2,2002,https://pdfs.semanticscholar.org/85bd/3255c70d3882234b64cf23abfd0717dcf256.pdf
